TAXA,FAMILY,SPECIES,SUBSPECIES,Common_name,spp_code_raster,Spp_code_phylogeny,mass,mass_male,mass_female,size,size_male,size_female,color_dimorphism,age_1st_rep,max_lifespan,rep_characteristics,clutch_litter_size,rep_per_year,rep_seasonality,broad_diet,activity_period,shelter_type,strata_used,pot_dispersal,endemic,rainforest_specialization,references,num_occur,AUC,model_background,realized_dist,core_realized_dist,potential_dist,core_potential_dist,elev_range,temp_range,precip_range,ENFA_marginality,ENFA_specialization,num_veg_types,veg_speciliazation,map_reliability
BIRD,Podargidae,Podargus papuensis,baileyi,Papuan Frogmouth,PFROG,Pp,380,414.3,341,600,.,.,1,.,14,10,1,1,3,4,2,1,4,6,0,4,1;2*,27,0.857,target group,15453.1,8638.1,15453.1,8638.1,4 - 1198,17.8 - 24.6,1356 - 3908,1.08,0.86,6,0.44,2bc
BIRD,Petroicidae,Poecilodryas superciliosa,.,White-browed Robin,WBR,Po,17.5,19.5,16.1,150,.,.,0,.,9,.,2,.,3,4,1,1,4,4,0,4,1;2,19,0.963,target group,22410.4,3640.5,22410.4,3640.5,0 - 691,20.2 - 24,1005 - 1718,0.95,2.49,6,0.231,1b
BIRD,Ptilonorhynchidae,Prionodura newtoniana,.,Golden Bowerbird,GOLDBB,Pn,75,73,84,250,.,.,1,.,21,11,1.8,1,2,3,1,3,4,5,1,6,1,153,0.982,grid,5523.5,1667.8,5583.4,1672.8,464 - 1540,15.7 - 21.4,1253 - 7408,1.89,1.78,7,0.895,4
BIRD,Eupetidae,Psophodes olivaceus,lateralis,Eastern Whipbird,EWB,Ol,62.8,68,57.5,260,48.4,47,1,.,12,10,2,1.5,3,4,1,1,4,5,0,5,1;2,691,0.936,grid,14095.5,6973.3,14182.3,6997.9,20 - 1540,15.7 - 24.4,1202 - 7413,1.33,0.71,14,0.75,4
BIRD,Columbidae,Ptilinopus magnificus,keri,Wompoo Fruit-Dove,WOMP,Pm,448,470,428,450,.,.,0,.,15,10,1,1,3,3,1,1,4,6,0,5,1;2;3*,566,0.906,grid,19774.2,9211.8,19774.2,9211.8,9 - 1246,17.6 - 24.6,1137 - 4141,1,0.58,13,0.74,4
BIRD,Columbidae,Ptilinopus regina,regina,Rose-crowned Fruit-Dove,RCFD,Pr,102.1,110.3,93.8,240,.,.,0,.,15,10,1,.,2,3,1,1,4,7,0,5,1;2;3*,102,0.818,target group,17278.9,9551.6,17278.9,9551.6,0 - 1090,18.2 - 24.7,1028 - 3675,0.93,0.59,10,0.656,3c
BIRD,Columbidae,Ptilinopus superbus,superbus,Superb Fruit-Dove,SFD,PS,110,104.1,110.6,240,.,.,1,.,15,10,1,.,3,3,1,1,4,7,0,5,1;2;3*,508,0.769,target group,16316.5,9260.8,16316.5,9260.8,8 - 1540,15.7 - 24.5,1131 - 7413,1.11,0.54,11,0.808,4
BIRD,Ptilonorhynchidae,Ptilonorhynchus violaceus,minor,Satin Bowerbird,SATBB,PV,180,187,174,280,.,.,1,2372,24,11,1.8,1.5,2,3,1,3,4,6,0,5,1;2,156,0.979,grid,6677.7,1761.7,6677.7,1761.7,267 - 1490,16 - 22.7,1356 - 6950,1.81,1.48,8,0.84,4
BIRD,Paradisaeidae,Ptiloris victoriae,.,Victoria's Riflebird,VRIF,VI,95,105,86,250,.,.,1,2007,9,11,2,2,2,3,1,1,4,5,1,5,1;2,643,0.923,grid,15118.2,7705.2,15118.2,7705.2,20 - 1280,17.2 - 24.5,1170 - 4032,1.15,0.67,12,0.801,4
BIRD,Rallidae,Rallina tricolor,robinsoni,Red-necked Crake,RNCR,Rt,210,214,194,290,.,.,0,.,11,10,5,1,2,4,1,3,5,5,0,5,1;2*,53,0.863,target group,19683.6,9443.9,19683.6,9443.9,13 - 943,19.2 - 24.5,1297 - 4032,1.08,0.69,5,0.462,3b
